inhibitor,assay_n,log10_conc,inhibition_percent,other_info
Cd4IgG2,1,1.39794,99,NA
Cd4IgG2,1,0.79588,90,NA
Cd4IgG2,1,0.19382,66,NA
Cd4IgG2,1,-0.40824,60,NA
Cd4IgG2,1,-1.0103,37,NA
Cd4IgG2,1,-1.61236,17,NA
Cd4IgG2,1,-2.21442,16,NA
Cd4IgG2,2,1.39794,90,NA
Cd4IgG2,2,0.79588,65,NA
Cd4IgG2,2,0.19382,46,NA
Cd4IgG2,2,-0.40824,27,NA
Cd4IgG2,2,-1.0103,27,NA
Cd4IgG2,2,-1.61236,17,NA
Cd4IgG2,2,-2.21442,-4,NA
b12,1,1.39794,100,NA
b12,1,0.79588,100,NA
b12,1,0.19382,96,NA
b12,1,-0.40824,79,NA
b12,1,-1.0103,64,NA
b12,1,-1.61236,38,NA
b12,1,-2.21442,15,NA
b12,2,1.39794,100,NA
b12,2,0.79588,98,NA
b12,2,0.19382,94,NA
b12,2,-0.40824,70,NA
b12,2,-1.0103,52,NA
b12,2,-1.61236,23,NA
b12,2,-2.21442,-7,NA
VRC01,1,1.39794,100,NA
VRC01,1,0.79588,98,NA
VRC01,1,0.19382,86,NA
VRC01,1,-0.40824,59,NA
VRC01,1,-1.0103,34,NA
VRC01,1,-1.61236,20,NA
VRC01,1,-2.21442,1,NA
VRC01,2,1.39794,100,NA
VRC01,2,0.79588,85,NA
VRC01,2,0.19382,62,NA
VRC01,2,-0.40824,28,NA
VRC01,2,-1.0103,31,NA
VRC01,2,-1.61236,8,NA
VRC01,2,-2.21442,1,NA
b6,1,1.39794,-15,NA
b6,1,0.79588,-5,NA
b6,1,0.19382,6,NA
b6,1,-0.40824,-27,NA
b6,1,-1.0103,2,NA
b6,1,-1.61236,-9,NA
b6,1,-2.21442,11,NA
b6,2,1.39794,37,NA
b6,2,0.79588,25,NA
b6,2,0.19382,17,NA
b6,2,-0.40824,41,NA
b6,2,-1.0103,47,NA
b6,2,-1.61236,19,NA
b6,2,-2.21442,7,NA
1-79,1,1.39794,32,NA
1-79,1,0.79588,33,NA
1-79,1,0.19382,1,NA
1-79,1,-0.40824,-5,NA
1-79,1,-1.0103,24,NA
1-79,1,-1.61236,5,NA
1-79,1,-2.21442,2,NA
1-79,2,1.39794,58,NA
1-79,2,0.79588,30,NA
1-79,2,0.19382,21,NA
1-79,2,-0.40824,27,NA
1-79,2,-1.0103,34,NA
1-79,2,-1.61236,-1,NA
1-79,2,-2.21442,0,NA
447-52,1,1.39794,64,NA
447-52,1,0.79588,37,NA
447-52,1,0.19382,22,NA
447-52,1,-0.40824,9,NA
447-52,1,-1.0103,38,NA
447-52,1,-1.61236,4,NA
447-52,1,-2.21442,1,NA
PGT121,1,1,100,NA
PGT121,1,0.39794,100,NA
PGT121,1,-0.20412,100,NA
PGT121,1,-0.80618,96,NA
PGT121,1,-1.40824,87,NA
PGT121,1,-2.0103,60,NA
PGT121,1,-2.61236,14,NA
PGT121,2,1.39794,100,star
PGT121,2,0.79588,100,star
PGT121,2,0.19382,100,star
PGT121,2,-0.40824,91,star
PGT121,2,-1.0103,67.000,star
PGT121,2,-1.61236,32.000,star
PGT121,2,-2.21442,-3.000,star
PGT128,1,1,100,NA
PGT128,1,0.39794,100,NA
PGT128,1,-0.20412,100,NA
PGT128,1,-0.80618,100,NA
PGT128,1,-1.40824,100,NA
PGT128,1,-2.0103,100,NA
PGT128,1,-2.61236,97,NA
PGT128,2,1.39794,100.0,star
PGT128,2,0.79588,100.0,star
PGT128,2,0.19382,100.0,star
PGT128,2,-0.40824,100.0,star
PGT128,2,-1.0103,98.0,star
PGT128,2,-1.61236,74.0,star
PGT128,2,-2.21442,25.0,star
PGT145,1,1,99,NA
PGT145,1,0.39794,100,NA
PGT145,1,-0.20412,100,NA
PGT145,1,-0.80618,100,NA
PGT145,1,-1.40824,100,NA
PGT145,1,-2.0103,98,NA
PGT145,1,-2.61236,79,NA
PGT145,2,1.39794,100.0000000,star
PGT145,2,0.79588,100.0000000,star
PGT145,2,0.19382,99.0000000,star
PGT145,2,-0.40824,95.0000000,star
PGT145,2,-1.0103,76.0000000,star
PGT145,2,-1.61236,47.0000000,star
PGT145,2,-2.21442,16.0000000,star
